municipality,year,empl
Glostrup,2011,75.0
Herlev,2011,73.7
Hvidovre,2011,73.5
Høje-Taastrup,2011,71.6
Ishøj,2011,67.3
Lyngby-Taarbæk,2011,75.1
Rødovre,2011,73.6
Vallensbæk,2011,78.8
Allerød,2011,80.5
Egedal,2011,80.5
Fredensborg,2011,74.8
Frederikssund,2011,76.6
Furesø,2011,77.1
Gribskov,2011,75.4
Halsnæs,2011,71.6
Helsingør,2011,72.6
Hillerød,2011,77.5
Hørsholm,2011,76.8
Rudersdal,2011,76.4
Bornholm,2011,67.1
Christiansø,2011,67.7
Greve,2011,76.9
Køge,2011,73.7
Lejre,2011,78.2
Roskilde,2011,74.9
Solrød,2011,78.6
Faxe,2011,73.2
Guldborgsund,2011,67.4
Holbæk,2011,72.8
Kalundborg,2011,69.5
Lolland,2011,61.5
Næstved,2011,71.5
Odsherred,2011,67.0
Ringsted,2011,74.0
Slagelse,2011,69.4
Sorø,2011,72.8
Stevns,2011,74.2
Vordingborg,2011,68.1
Assens,2011,71.7
Faaborg-Midtfyn,2011,70.5
Kerteminde,2011,69.2
Langeland,2011,64.1
Middelfart,2011,73.7
Nordfyns,2011,71.4
Nyborg,2011,68.4
Odense,2011,66.1
Svendborg,2011,67.8
Ærø,2011,65.4
Billund,2011,76.1
Esbjerg,2011,70.8
Fanø,2011,73.6
Fredericia,2011,69.9
Haderslev,2011,70.7
Kolding,2011,73.7
Sønderborg,2011,69.3
Tønder,2011,70.9
Varde,2011,76.6
Vejen,2011,75.4
Vejle,2011,74.3
Aabenraa,2011,70.2
Favrskov,2011,77.9
Hedensted,2011,77.8
Horsens,2011,71.8
Norddjurs,2011,69.9
Odder,2011,74.5
Randers,2011,71.2
Samsø,2011,70.1
Silkeborg,2011,74.2
Skanderborg,2011,78.3
Syddjurs,2011,72.4
Aarhus,2011,68.0
Herning,2011,73.6
Holstebro,2011,75.0
Ikast-Brande,2011,74.0
Lemvig,2011,75.1
Ringkøbing-Skjern,2011,76.1
Skive,2011,72.5
Struer,2011,72.3
Viborg,2011,74.5
Brønderslev,2011,72.6
Frederikshavn,2011,70.6
Hjørring,2011,71.6
Jammerbugt,2011,72.1
Læsø,2011,68.2
Mariagerfjord,2011,72.3
Morsø,2011,68.9
Rebild,2011,77.0
Thisted,2011,72.3
Vesthimmerlands,2011,71.9
Aalborg,2011,69.2
Copenhagen,2012,69.4
Frederiksberg,2012,73.0
Dragør,2012,78.7
Tårnby,2012,75.4
Albertslund,2012,66.5
Ballerup,2012,71.4
Brøndby,2012,67.4
Gentofte,2012,75.5
Gladsaxe,2012,73.2
Glostrup,2012,74.7
Herlev,2012,73.1
Hvidovre,2012,72.8
Høje-Taastrup,2012,70.8
Ishøj,2012,66.4
Lyngby-Taarbæk,2012,75.1
Rødovre,2012,73.0
Vallensbæk,2012,78.7
Allerød,2012,80.4
Egedal,2012,80.7
Fredensborg,2012,73.8
Frederikssund,2012,76.1
Furesø,2012,76.5
Gribskov,2012,74.8
Halsnæs,2012,71.4
Helsingør,2012,72.2
Hillerød,2012,77.6
Hørsholm,2012,76.5
Rudersdal,2012,76.4
Bornholm,2012,66.0
Christiansø,2012,69.6
Greve,2012,76.2
Køge,2012,73.3
Lejre,2012,77.5
Roskilde,2012,74.1
Solrød,2012,77.9
Faxe,2012,72.5
Guldborgsund,2012,66.3
Holbæk,2012,72.0
Kalundborg,2012,68.5
Lolland,2012,60.7
Næstved,2012,71.4
Odsherred,2012,66.6
Ringsted,2012,72.8
Slagelse,2012,68.8
Sorø,2012,71.5
Stevns,2012,74.0
Vordingborg,2012,67.4
Assens,2012,70.8
Faaborg-Midtfyn,2012,69.7
Kerteminde,2012,68.3
Langeland,2012,63.1
Middelfart,2012,73.2
Nordfyns,2012,71.0
Nyborg,2012,67.9
Odense,2012,65.7
Svendborg,2012,67.5
Ærø,2012,65.9
Billund,2012,75.4
Esbjerg,2012,70.2
Fanø,2012,72.5
Fredericia,2012,68.9
Haderslev,2012,69.8
Kolding,2012,73.0
Sønderborg,2012,68.5
Tønder,2012,69.9
Varde,2012,75.7
Vejen,2012,75.0
Vejle,2012,73.8
Aabenraa,2012,69.5
Favrskov,2012,77.2
Hedensted,2012,77.5
Horsens,2012,70.9
Norddjurs,2012,68.9
Odder,2012,73.8
Randers,2012,70.5
Samsø,2012,68.4
Silkeborg,2012,74.1
Skanderborg,2012,78.1
Syddjurs,2012,71.9
Aarhus,2012,67.4
Herning,2012,73.1
Holstebro,2012,74.5
Ikast-Brande,2012,73.8
Lemvig,2012,73.8
Ringkøbing-Skjern,2012,74.5
Skive,2012,72.1
Struer,2012,70.9
Viborg,2012,73.5
Brønderslev,2012,72.1
Frederikshavn,2012,70.5
Hjørring,2012,71.5
Jammerbugt,2012,71.5
Læsø,2012,66.2
Mariagerfjord,2012,71.6
Morsø,2012,68.8
Rebild,2012,77.4
Thisted,2012,71.5
Vesthimmerlands,2012,71.5
Aalborg,2012,68.6
Copenhagen,2013,69.7
Frederiksberg,2013,73.3
Dragør,2013,78.7
Tårnby,2013,75.8
Albertslund,2013,67.0
Ballerup,2013,71.0
Brøndby,2013,67.5
Gentofte,2013,75.2
Gladsaxe,2013,73.1
Glostrup,2013,74.8
Herlev,2013,73.0
Hvidovre,2013,73.0
Høje-Taastrup,2013,71.2
Ishøj,2013,66.4
Lyngby-Taarbæk,2013,75.0
Rødovre,2013,73.2
Vallensbæk,2013,78.2
Allerød,2013,80.5
Egedal,2013,80.4
Fredensborg,2013,73.9
Frederikssund,2013,75.7
Furesø,2013,76.7
Gribskov,2013,74.7
Halsnæs,2013,71.5
Helsingør,2013,72.3
Hillerød,2013,77.3
Hørsholm,2013,76.8
Rudersdal,2013,76.6
Bornholm,2013,66.1
Christiansø,2013,69.4
Greve,2013,76.2
Køge,2013,73.1
Lejre,2013,77.4
Roskilde,2013,74.0
Solrød,2013,78.1
Faxe,2013,72.7
Guldborgsund,2013,66.3
Holbæk,2013,71.9
Kalundborg,2013,68.5
Lolland,2013,61.2
Næstved,2013,71.4
Odsherred,2013,67.0
Ringsted,2013,73.2
Slagelse,2013,68.6
Sorø,2013,71.7
Stevns,2013,73.7
Vordingborg,2013,67.3
Assens,2013,71.3
Faaborg-Midtfyn,2013,70.4
Kerteminde,2013,69.4
Langeland,2013,64.2
Middelfart,2013,73.7
Nordfyns,2013,70.6
Nyborg,2013,67.8
Odense,2013,65.4
Svendborg,2013,67.6
Ærø,2013,64.7
Billund,2013,75.6
Esbjerg,2013,70.4
Fanø,2013,72.5
Fredericia,2013,69.4
Haderslev,2013,70.0
Kolding,2013,73.1
Sønderborg,2013,68.6
Tønder,2013,70.1
Varde,2013,75.4
Vejen,2013,74.7
Vejle,2013,73.8
Aabenraa,2013,69.4
Favrskov,2013,77.4
Hedensted,2013,77.3
Horsens,2013,71.2
Norddjurs,2013,69.2
Odder,2013,74.4
Randers,2013,70.3
Samsø,2013,69.8
Silkeborg,2013,74.2
Skanderborg,2013,77.8
Syddjurs,2013,71.7
Aarhus,2013,67.3
Herning,2013,73.2
Holstebro,2013,74.6
Ikast-Brande,2013,73.1
Lemvig,2013,73.6
Ringkøbing-Skjern,2013,74.3
Skive,2013,72.8
Struer,2013,70.8
Viborg,2013,73.5
Brønderslev,2013,72.2
Frederikshavn,2013,70.2
Hjørring,2013,71.2
Jammerbugt,2013,71.5
Læsø,2013,68.2
Mariagerfjord,2013,71.5
Morsø,2013,69.7
Rebild,2013,77.3
Thisted,2013,71.3
Vesthimmerlands,2013,71.2
Aalborg,2013,67.9
Copenhagen,2014,70.0
Frederiksberg,2014,73.5
Dragør,2014,78.9
Tårnby,2014,75.7
Albertslund,2014,67.4
Ballerup,2014,71.8
Brøndby,2014,67.3
Gentofte,2014,74.7
Gladsaxe,2014,73.4
Glostrup,2014,74.4
Herlev,2014,73.5
Hvidovre,2014,73.2
Høje-Taastrup,2014,71.6
Ishøj,2014,66.9
Lyngby-Taarbæk,2014,75.0
Rødovre,2014,73.5
Vallensbæk,2014,78.2
Allerød,2014,80.7
Egedal,2014,80.9
Fredensborg,2014,74.3
Frederikssund,2014,76.0
Furesø,2014,76.7
Gribskov,2014,75.1
Halsnæs,2014,72.2
Helsingør,2014,72.6
Hillerød,2014,77.2
Hørsholm,2014,76.5
Rudersdal,2014,76.7
Bornholm,2014,67.0
Christiansø,2014,70.0
Greve,2014,76.5
Køge,2014,74.1
Lejre,2014,77.3
Roskilde,2014,74.0
Solrød,2014,78.3
Faxe,2014,73.4
Guldborgsund,2014,66.6
Holbæk,2014,72.4
Kalundborg,2014,68.7
Lolland,2014,61.6
Næstved,2014,71.3
Odsherred,2014,67.3
Ringsted,2014,73.9
Slagelse,2014,69.2
Sorø,2014,72.9
Stevns,2014,74.1
Vordingborg,2014,67.0
Assens,2014,71.4
Faaborg-Midtfyn,2014,70.8
Kerteminde,2014,70.3
Langeland,2014,64.8
Middelfart,2014,74.3
Nordfyns,2014,71.6
Nyborg,2014,67.9
Odense,2014,65.6
Svendborg,2014,67.9
Ærø,2014,65.1
Billund,2014,75.4
Esbjerg,2014,71.1
Fanø,2014,73.4
Fredericia,2014,70.1
Haderslev,2014,70.7
Kolding,2014,73.2
Sønderborg,2014,69.3
Tønder,2014,70.8
Varde,2014,75.6
Vejen,2014,74.9
Vejle,2014,74.1
Aabenraa,2014,70.1
Favrskov,2014,78.2
Hedensted,2014,77.7
Horsens,2014,71.9
Norddjurs,2014,69.4
Odder,2014,74.7
Randers,2014,70.8
Samsø,2014,70.9
Silkeborg,2014,74.7
Skanderborg,2014,78.2
Syddjurs,2014,72.1
Aarhus,2014,68.0
Herning,2014,74.0
Holstebro,2014,75.1
Ikast-Brande,2014,73.8
Lemvig,2014,74.7
Ringkøbing-Skjern,2014,75.2
Skive,2014,72.6
Struer,2014,71.0
Viborg,2014,73.4
Brønderslev,2014,72.0
Frederikshavn,2014,70.6
Hjørring,2014,71.1
Jammerbugt,2014,71.4
Læsø,2014,67.1
Mariagerfjord,2014,71.4
Morsø,2014,70.1
Rebild,2014,77.5
Thisted,2014,71.5
Vesthimmerlands,2014,71.7
Aalborg,2014,68.0
Copenhagen,2015,70.8
Frederiksberg,2015,74.0
Dragør,2015,78.6
Tårnby,2015,76.5
Albertslund,2015,68.7
Ballerup,2015,72.8
Brøndby,2015,68.0
Gentofte,2015,75.1
Gladsaxe,2015,74.1
Glostrup,2015,75.0
Herlev,2015,74.4
Hvidovre,2015,74.0
Høje-Taastrup,2015,72.0
Ishøj,2015,68.3
Lyngby-Taarbæk,2015,75.5
Rødovre,2015,74.3
Vallensbæk,2015,78.6
Allerød,2015,80.9
Egedal,2015,81.2
Fredensborg,2015,74.7
Frederikssund,2015,76.5
Furesø,2015,77.0
Gribskov,2015,75.6
Halsnæs,2015,73.3
Helsingør,2015,73.3
Hillerød,2015,77.7
Hørsholm,2015,77.1
Rudersdal,2015,77.0
Bornholm,2015,67.3
Christiansø,2015,75.5
Greve,2015,77.2
Køge,2015,75.1
Lejre,2015,78.2
Roskilde,2015,74.5
Solrød,2015,78.6
Faxe,2015,73.8
Guldborgsund,2015,67.1
Holbæk,2015,72.5
Kalundborg,2015,69.6
Lolland,2015,62.2
Næstved,2015,71.5
Odsherred,2015,68.1
Ringsted,2015,74.5
Slagelse,2015,69.6
Sorø,2015,73.1
Stevns,2015,74.6
Vordingborg,2015,67.3
Assens,2015,71.5
Faaborg-Midtfyn,2015,71.1
Kerteminde,2015,70.6
Langeland,2015,63.9
Middelfart,2015,74.3
Nordfyns,2015,71.6
Nyborg,2015,68.4
Odense,2015,65.8
Svendborg,2015,67.9
Ærø,2015,65.8
Billund,2015,75.7
Esbjerg,2015,71.4
Fanø,2015,73.0
Fredericia,2015,70.4
Haderslev,2015,70.6
Kolding,2015,73.6
Sønderborg,2015,69.2
Tønder,2015,71.2
Varde,2015,75.8
Vejen,2015,75.4
Vejle,2015,74.8
Aabenraa,2015,70.7
Favrskov,2015,77.9
Hedensted,2015,78.2
Horsens,2015,72.0
Norddjurs,2015,69.4
Odder,2015,74.3
Randers,2015,71.3
Samsø,2015,71.4
Silkeborg,2015,75.0
Skanderborg,2015,78.2
Syddjurs,2015,73.0
Aarhus,2015,68.4
Herning,2015,74.2
Holstebro,2015,75.3
Ikast-Brande,2015,74.0
Lemvig,2015,74.7
Ringkøbing-Skjern,2015,75.5
Skive,2015,72.8
Struer,2015,70.9
Viborg,2015,73.8
Brønderslev,2015,72.0
Frederikshavn,2015,70.4
Hjørring,2015,71.0
Jammerbugt,2015,71.8
Læsø,2015,67.4
Mariagerfjord,2015,72.3
Morsø,2015,70.9
Rebild,2015,78.0
Thisted,2015,72.1
Vesthimmerlands,2015,72.1
Aalborg,2015,68.5
Copenhagen,2016,71.5
Frederiksberg,2016,74.7
Dragør,2016,79.2
Tårnby,2016,77.4
Albertslund,2016,68.8
Ballerup,2016,73.6
Brøndby,2016,69.1
Gentofte,2016,75.2
Gladsaxe,2016,74.3
Glostrup,2016,75.5
Herlev,2016,74.7
Hvidovre,2016,74.6
Høje-Taastrup,2016,72.8
Ishøj,2016,69.4
Lyngby-Taarbæk,2016,75.7
Rødovre,2016,74.8
Vallensbæk,2016,79.5
Allerød,2016,81.8
Egedal,2016,81.4
Fredensborg,2016,75.0
Frederikssund,2016,77.4
Furesø,2016,77.9
Gribskov,2016,76.3
Halsnæs,2016,74.0
Helsingør,2016,74.0
Hillerød,2016,78.2
Hørsholm,2016,77.0
Rudersdal,2016,76.9
Bornholm,2016,69.3
Christiansø,2016,77.8
Greve,2016,77.9
Køge,2016,75.5
Lejre,2016,78.6
Roskilde,2016,75.6
Solrød,2016,79.9
Faxe,2016,74.4
Guldborgsund,2016,67.8
Holbæk,2016,73.3
Kalundborg,2016,70.2
Lolland,2016,62.6
Næstved,2016,72.1
Odsherred,2016,68.9
Ringsted,2016,74.7
Slagelse,2016,70.5
Sorø,2016,74.2
Stevns,2016,74.9
Vordingborg,2016,68.3
Assens,2016,71.5
Faaborg-Midtfyn,2016,71.7
Kerteminde,2016,71.3
Langeland,2016,66.0
Middelfart,2016,75.0
Nordfyns,2016,72.9
Nyborg,2016,69.4
Odense,2016,66.5
Svendborg,2016,68.4
Ærø,2016,67.0
Billund,2016,76.6
Esbjerg,2016,72.2
Fanø,2016,74.9
Fredericia,2016,71.5
Haderslev,2016,71.5
Kolding,2016,74.8
Sønderborg,2016,70.2
Tønder,2016,71.9
Varde,2016,76.1
Vejen,2016,76.5
Vejle,2016,75.3
Aabenraa,2016,72.0
Favrskov,2016,79.1
Hedensted,2016,79.0
Horsens,2016,73.0
Norddjurs,2016,70.2
Odder,2016,75.1
Randers,2016,72.1
Samsø,2016,71.7
Silkeborg,2016,75.8
Skanderborg,2016,78.8
Syddjurs,2016,73.8
Aarhus,2016,69.2
Herning,2016,74.9
Holstebro,2016,75.7
Ikast-Brande,2016,74.7
Lemvig,2016,74.9
Ringkøbing-Skjern,2016,76.4
Skive,2016,73.7
Struer,2016,72.0
Viborg,2016,74.4
Brønderslev,2016,73.0
Frederikshavn,2016,71.1
Hjørring,2016,72.1
Jammerbugt,2016,72.8
Læsø,2016,69.0
Mariagerfjord,2016,73.4
Morsø,2016,72.2
Rebild,2016,79.0
Thisted,2016,73.2
Vesthimmerlands,2016,73.1
Aalborg,2016,69.5
Copenhagen,2017,72.2
Frederiksberg,2017,75.6
Dragør,2017,80.4
Tårnby,2017,77.6
Albertslund,2017,70.2
Ballerup,2017,74.5
Brøndby,2017,69.4
Gentofte,2017,76.1
Gladsaxe,2017,75.3
Glostrup,2017,76.0
Herlev,2017,75.4
Hvidovre,2017,74.8
Høje-Taastrup,2017,73.5
Ishøj,2017,70.3
Lyngby-Taarbæk,2017,75.7
Rødovre,2017,75.1
Vallensbæk,2017,79.7
Allerød,2017,82.2
Egedal,2017,82.2
Fredensborg,2017,75.5
Frederikssund,2017,77.9
Furesø,2017,78.7
Gribskov,2017,76.7
Halsnæs,2017,74.8
Helsingør,2017,74.6
Hillerød,2017,78.2
Hørsholm,2017,77.9
Rudersdal,2017,77.4
Bornholm,2017,70.1
Christiansø,2017,80.9
Greve,2017,78.4
Køge,2017,76.5
Lejre,2017,79.1
Roskilde,2017,76.8
Solrød,2017,81.5
Faxe,2017,75.1
Guldborgsund,2017,68.6
Holbæk,2017,73.4
Kalundborg,2017,70.7
Lolland,2017,63.1
Næstved,2017,72.8
Odsherred,2017,69.5
Ringsted,2017,75.8
Slagelse,2017,71.1
Sorø,2017,74.6
Stevns,2017,76.0
Vordingborg,2017,69.2
Assens,2017,72.5
Faaborg-Midtfyn,2017,72.7
Kerteminde,2017,72.9
Langeland,2017,66.2
Middelfart,2017,76.0
Nordfyns,2017,73.9
Nyborg,2017,70.3
Odense,2017,67.2
Svendborg,2017,69.1
Ærø,2017,68.1
Billund,2017,77.0
Esbjerg,2017,73.0
Fanø,2017,74.2
Fredericia,2017,72.3
Haderslev,2017,72.7
Kolding,2017,75.7
Sønderborg,2017,71.8
Tønder,2017,72.2
Varde,2017,77.4
Vejen,2017,77.0
Vejle,2017,76.2
Aabenraa,2017,72.9
Favrskov,2017,80.3
Hedensted,2017,79.3
Horsens,2017,74.0
Norddjurs,2017,71.1
Odder,2017,76.2
Randers,2017,72.9
Samsø,2017,72.5
Silkeborg,2017,76.7
Skanderborg,2017,79.9
Syddjurs,2017,74.9
Aarhus,2017,69.9
Herning,2017,75.9
Holstebro,2017,76.9
Ikast-Brande,2017,75.3
Lemvig,2017,75.7
Ringkøbing-Skjern,2017,77.1
Skive,2017,74.5
Struer,2017,72.8
Viborg,2017,75.4
Brønderslev,2017,73.7
Frederikshavn,2017,71.6
Hjørring,2017,72.7
Jammerbugt,2017,73.6
Læsø,2017,72.0
Mariagerfjord,2017,73.9
Morsø,2017,73.0
Rebild,2017,79.4
Thisted,2017,74.5
Vesthimmerlands,2017,73.9
Aalborg,2017,69.9
Copenhagen,2018,73.2
Frederiksberg,2018,76.5
Dragør,2018,81.2
Tårnby,2018,78.0
Albertslund,2018,71.3
Ballerup,2018,75.3
Brøndby,2018,70.2
Gentofte,2018,76.6
Gladsaxe,2018,76.3
Glostrup,2018,76.5
Herlev,2018,76.0
Hvidovre,2018,75.8
Høje-Taastrup,2018,74.4
Ishøj,2018,71.5
Lyngby-Taarbæk,2018,76.6
Rødovre,2018,76.2
Vallensbæk,2018,80.9
Allerød,2018,83.0
Egedal,2018,82.6
Fredensborg,2018,76.5
Frederikssund,2018,78.6
Furesø,2018,79.6
Gribskov,2018,78.0
Halsnæs,2018,76.2
Helsingør,2018,75.2
Hillerød,2018,79.0
Hørsholm,2018,78.8
Rudersdal,2018,77.7
Bornholm,2018,70.2
Christiansø,2018,82.0
Greve,2018,79.5
Køge,2018,77.1
Lejre,2018,79.8
Roskilde,2018,77.7
Solrød,2018,81.7
Faxe,2018,76.2
Guldborgsund,2018,69.2
Holbæk,2018,74.9
Kalundborg,2018,71.4
Lolland,2018,64.3
Næstved,2018,74.2
Odsherred,2018,71.2
Ringsted,2018,76.7
Slagelse,2018,72.0
Sorø,2018,75.7
Stevns,2018,77.1
Vordingborg,2018,70.6
Assens,2018,73.5
Faaborg-Midtfyn,2018,73.7
Kerteminde,2018,74.2
Langeland,2018,68.1
Middelfart,2018,76.9
Nordfyns,2018,74.6
Nyborg,2018,71.5
Odense,2018,68.3
Svendborg,2018,70.6
Ærø,2018,70.1
Billund,2018,77.7
Esbjerg,2018,74.6
Fanø,2018,75.6
Fredericia,2018,73.4
Haderslev,2018,73.9
Kolding,2018,76.6
Sønderborg,2018,72.9
Tønder,2018,73.4
Varde,2018,78.3
Vejen,2018,78.0
Vejle,2018,77.3
Aabenraa,2018,74.0
Favrskov,2018,81.2
Hedensted,2018,80.0
